2023	GENERAL - MISC.	
2026	POULTRY	CHICKENS
2026	POULTRY	TURKEYS
2029	CATTLE	COWS-LACTATING
2029	SHEEP	
2029	SWINE (PIGS)	PIGLETS
2034	CATTLE	
2042	CATTLE	
2042	HORSES	
2042	SHEEP	
2042	SWINE (PIGS)	
2069	HORSES	
2069	WILD/MISCELLANEOUS	
2089	CATTLE	
2089	HORSES	
2089	SHEEP	
2089	SWINE (PIGS)	
2090	SWINE (PIGS)	
2123	CATTLE	
2123	SHEEP	
2124	CATTLE	
2124	SHEEP	
2131	GENERAL - MISC.	
2132	CATTLE	
2132	GOATS	
2132	HORSES	
2132	SHEEP	
2132	SWINE (PIGS)	
21328	CATTLE	
21328	POULTRY	
21328	SWINE (PIGS)	
2143	DOG OR CAT	
2144	DOG OR CAT	
2160	CATTLE	
2160	DOG OR CAT	
2160	HORSES	
2162	GENERAL - MISC.	
2192	CATTLE	
2192	SWINE (PIGS)	
22156	HORSES	
2217	CATS	
2217	CATTLE	
2217	DOGS	
2217	GOATS	
2217	HORSES	
2217	SHEEP	LAMB
2217	SWINE (PIGS)	
2217	WILD/MISCELLANEOUS	
2218	CATTLE	
2218	DOG OR CAT	
2218	GOATS	
2218	HORSES	
2218	SHEEP	
2218	SWINE (PIGS)	
2230	GENERAL - MISC.	
2271	HORSES	
22937	HORSES	
2345	CATTLE	BEEF HEIFERS
2345	CATTLE	DAIRY CATTLE
2345	SHEEP	EWES
2345	SHEEP	LAMB
2345	SWINE (PIGS)	SOWS
235	CATS	
235	DOGS	
2356	CATTLE	
237	CATS	
237	DOGS	
238	CATS	
238	CATTLE	
238	DOGS	
238	HORSES	
238	SHEEP	LAMB
238	SWINE (PIGS)	
2388	SWINE (PIGS)	PIGLETS
24726	CATTLE	DAIRY CATTLE
2474	DOG OR CAT	
2475	CATS	
2475	CATTLE	
2475	DOGS	
2475	GOATS	
2475	HORSES	
2475	POULTRY	
2475	SHEEP	
2475	SWINE (PIGS)	
2475	WILD/MISCELLANEOUS	
2496	HORSES	
2497	HORSES	
2498	HORSES	
2499	HORSES	
2500	GENERAL - MISC.	
